run_id,algorithm_name,input_size,execution_time_ns,memory_kb,trial_number,date_run
235,BFS,50,57700,0.0,3,2026-08-19T09:16:47.095651700
236,DFS,50,66600,0.0,3,2026-08-19T09:16:47.095651700
237,Dijkstra,50,187700,0.0,3,2026-08-19T09:16:47.095651700
238,Prim MST,50,267300,0.0,3,2026-08-19T09:16:47.095651700
239,Kruskal MST,50,726300,0.0,3,2026-08-19T09:16:47.095651700
240,BFS,100,147100,0.0,1,2026-08-19T09:16:47.095651700
241,DFS,100,177600,0.0,1,2026-08-19T09:16:47.095651700
242,Dijkstra,100,461400,0.0,1,2026-08-19T09:16:47.095651700
243,Prim MST,100,508200,0.0,1,2026-08-19T09:16:47.095651700
244,Kruskal MST,100,2607800,0.0390625,1,2026-08-19T09:16:47.095651700
245,BFS,100,188000,0.0,2,2026-08-19T09:16:47.095651700
246,DFS,100,215300,0.0,2,2026-08-19T09:16:47.095651700
247,Dijkstra,100,300600,0.0,2,2026-08-19T09:16:47.095651700
248,Prim MST,100,462400,0.0,2,2026-08-19T09:16:47.095651700
249,Kruskal MST,100,2433000,0.0,2,2026-08-19T09:16:47.095651700
250,BFS,100,164400,0.0,3,2026-08-19T09:16:47.095651700
251,DFS,100,431400,0.0,3,2026-08-19T09:16:47.095651700
252,Dijkstra,100,388500,0.0,3,2026-08-19T09:16:47.095651700
253,Prim MST,100,713700,0.0,3,2026-08-19T09:16:47.095651700
254,Kruskal MST,100,2518600,0.0,3,2026-08-19T09:16:47.095651700
255,BFS,200,430800,0.0,1,2026-08-19T09:16:47.095651700
256,DFS,200,414600,0.0,1,2026-08-19T09:16:47.095651700
257,Dijkstra,200,690700,0.0,1,2026-08-19T09:16:47.095651700
258,Prim MST,200,864700,1180.265625,1,2026-08-19T09:16:47.095651700
259,Kruskal MST,200,2627000,0.0,1,2026-08-19T09:16:47.095651700
260,BFS,200,498400,0.0,2,2026-08-19T09:16:47.095651700
261,DFS,200,394900,0.0,2,2026-08-19T09:16:47.095651700
262,Dijkstra,200,677900,0.0,2,2026-08-19T09:16:47.095651700
263,Prim MST,200,711100,0.0,2,2026-08-19T09:16:47.095651700
264,Kruskal MST,200,1165700,0.0,2,2026-08-19T09:16:47.095651700
265,BFS,200,429700,0.0,3,2026-08-19T09:16:47.095651700
266,DFS,200,378000,0.0,3,2026-08-19T09:16:47.095651700
267,Dijkstra,200,708000,0.0,3,2026-08-19T09:16:47.095651700
268,Prim MST,200,898100,0.0,3,2026-08-19T09:16:47.095651700
269,Kruskal MST,200,1214000,0.0,3,2026-08-19T09:16:47.095651700
270,BFS,500,2087900,0.0,1,2026-08-19T09:16:47.095651700
271,DFS,500,1705700,0.0,1,2026-08-19T09:16:47.095651700
272,Dijkstra,500,2991600,0.0,1,2026-08-19T09:16:47.095651700
273,Prim MST,500,1686500,976.578125,1,2026-08-19T09:16:47.095651700
274,Kruskal MST,500,3979200,0.0,1,2026-08-19T09:16:47.095651700
275,BFS,500,672100,0.0,2,2026-08-19T09:16:47.095651700
276,DFS,500,879000,1024.0,2,2026-08-19T09:16:47.095651700
277,Dijkstra,500,5028300,0.0,2,2026-08-19T09:16:47.095651700
278,Prim MST,500,2160400,976.578125,2,2026-08-19T09:16:47.095651700
279,Kruskal MST,500,1938600,0.0,2,2026-08-19T09:16:47.095651700
280,BFS,500,577400,0.0,3,2026-08-19T09:16:47.095651700
281,DFS,500,551900,0.0,3,2026-08-19T09:16:47.095651700
282,Dijkstra,500,879600,0.0,3,2026-08-19T09:16:47.095651700
283,Prim MST,500,1947600,976.578125,3,2026-08-19T09:16:47.095651700
284,Kruskal MST,500,1384200,142.265625,3,2026-08-19T09:16:47.095651700
